Timestamp [ms];	CPU cores;	CPU capacity provisioned [MHZ];	CPU usage [MHZ];	CPU usage [%];	Memory capacity provisioned [KB];	Memory usage [KB];	Disk read throughput [KB/s];	Disk write throughput [KB/s];	Network received throughput [KB/s];	Network transmitted throughput [KB/s]
1376427356;	1;	2599.999304;	25.99999304;	1.0;	2097152.0;	262841.6;	0.0;	8.733333333333333;	0.0;	0.6
1376427656;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	199926.4;	0.0;	7.2;	0.0;	0.06666666666666667
1376427956;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	171964.8;	0.0;	7.733333333333333;	0.0;	0.3333333333333333
1376428256;	1;	2599.999304;	13.866662954666667;	0.5333333333333333;	2097152.0;	174761.86666666667;	0.0;	7.333333333333333;	0.0;	0.06666666666666667
1376428556;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	160780.8;	0.0;	7.333333333333333;	0.0;	0.13333333333333333
1376428856;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	204121.06666666668;	0.0;	7.533333333333333;	0.0;	0.06666666666666667
1376429156;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	199927.2;	0.0;	7.4;	0.0;	0.06666666666666667
1376429456;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	192936.53333333333;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
1376429756;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	177557.06666666668;	0.0;	7.533333333333333;	0.0;	0.06666666666666667
1376430056;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	194333.86666666667;	0.0;	7.733333333333333;	0.0;	0.13333333333333333
1376430356;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	160780.8;	0.0;	7.333333333333333;	0.0;	0.06666666666666667
1376430656;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	178955.2;	0.0;	7.333333333333333;	0.0;	0.06666666666666667
1376430956;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	253054.93333333332;	0.0;	9.0;	0.0;	0.5333333333333333
1376431256;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	222295.2;	0.0;	7.466666666666667;	0.0;	0.06666666666666667
1376431556;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	187343.2;	4.533333333333333;	9.0;	0.0;	0.3333333333333333
1376431856;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	205518.66666666666;	0.0;	7.333333333333333;	0.0;	0.13333333333333333
1376432156;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	195732.26666666666;	0.0;	7.333333333333333;	0.0;	0.06666666666666667
1376432456;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	202721.33333333334;	0.0;	7.133333333333334;	0.0;	0.06666666666666667
1376432756;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	178955.2;	0.0;	8.066666666666666;	0.0;	0.06666666666666667
1376433056;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	152391.73333333334;	1.9333333333333333;	7.533333333333333;	0.0;	0.06666666666666667
1376433356;	1;	2599.999304;	13.866662954666667;	0.5333333333333333;	2097152.0;	173363.2;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
1376433656;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	226490.13333333333;	0.0;	7.733333333333333;	0.0;	0.13333333333333333
1376433956;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	180353.86666666667;	0.0;	18.133333333333333;	0.0;	0.06666666666666667
1376434256;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	215305.33333333334;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
1376434556;	1;	2599.999304;	24.266660170666665;	0.9333333333333332;	2097152.0;	251656.53333333333;	0.0;	9.066666666666666;	0.0;	0.6
1376434856;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	192936.0;	0.0;	7.2;	0.0;	0.13333333333333333
1376435156;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	181752.0;	0.0;	7.866666666666666;	0.0;	0.4
1376435456;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	120235.46666666666;	0.0;	7.266666666666667;	0.0;	0.2
1376435756;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	149594.93333333332;	0.0;	7.2;	0.0;	0.13333333333333333
1376436056;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	176160.0;	0.0;	7.6;	0.0;	0.13333333333333333
1376436356;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	183149.86666666667;	0.0;	7.266666666666667;	0.0;	0.13333333333333333
1376436656;	1;	2599.999304;	13.866662954666667;	0.5333333333333333;	2097152.0;	157984.0;	0.0;	7.4;	0.0;	0.13333333333333333
1376436956;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	153789.86666666667;	0.0;	7.466666666666667;	0.0;	0.13333333333333333
1376437256;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	181750.66666666666;	0.0;	8.2;	0.0;	0.13333333333333333
1376437556;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	190139.2;	0.0;	7.266666666666667;	0.0;	0.13333333333333333
1376437856;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	201324.8;	0.0;	7.666666666666667;	0.0;	0.13333333333333333
1376438156;	1;	2599.999304;	22.533327301333333;	0.8666666666666667;	2097152.0;	209712.53333333333;	0.0;	8.933333333333334;	0.0;	0.6666666666666666
1376438456;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	201324.26666666666;	0.0;	7.4;	0.0;	0.13333333333333333
1376438756;	1;	2599.999304;	13.866662954666667;	0.5333333333333333;	2097152.0;	162178.66666666666;	0.0;	7.666666666666667;	0.0;	0.3333333333333333
1376439056;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	138411.2;	0.0;	7.466666666666667;	0.0;	0.06666666666666667
1376439356;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	121633.33333333333;	0.0;	7.533333333333333;	0.0;	0.06666666666666667
1376439656;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	192936.0;	0.0;	7.466666666666667;	0.0;	0.06666666666666667
1376439956;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	227887.73333333334;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
1376440256;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	212509.06666666668;	0.0;	8.0;	0.0;	0.13333333333333333
1376440557;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	178955.46666666667;	0.0;	7.2;	0.0;	0.06666666666666667
1376440857;	1;	2599.999304;	22.533327301333333;	0.8666666666666667;	2097152.0;	159381.86666666667;	0.0;	8.066666666666666;	0.0;	0.13333333333333333
1376441157;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	156586.93333333332;	0.0;	7.4;	0.0;	0.06666666666666667
1376441457;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	164973.86666666667;	0.0;	7.466666666666667;	0.0;	0.06666666666666667
1376441757;	1;	2599.999304;	22.533327301333333;	0.8666666666666667;	2097152.0;	194334.13333333333;	0.0;	9.2;	0.0;	0.5333333333333333
1376442057;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	205518.66666666666;	0.0;	7.4;	0.0;	0.06666666666666667
1376442357;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	155188.53333333333;	0.0;	7.466666666666667;	0.0;	0.3333333333333333
1376442657;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	181750.93333333332;	0.0;	7.6;	0.0;	0.13333333333333333
1376442957;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	177557.33333333334;	0.0;	7.133333333333334;	0.0;	0.06666666666666667
1376443257;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	192935.2;	0.0;	7.466666666666667;	0.0;	0.06666666666666667
1376443557;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	211111.2;	0.0;	7.466666666666667;	0.0;	0.06666666666666667
1376443857;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	167771.2;	0.0;	7.466666666666667;	0.0;	0.13333333333333333
1376444157;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	150994.4;	0.0;	7.2;	0.0;	0.13333333333333333
1376444457;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	171965.33333333334;	0.0;	8.2;	0.0;	0.13333333333333333
1376444757;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	167771.46666666667;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
1376445057;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	145401.6;	0.0;	7.2;	0.0;	0.06666666666666667
1376445357;	1;	2599.999304;	27.733325909333335;	1.0666666666666667;	2097152.0;	218101.6;	0.0;	9.4;	0.0;	0.7333333333333333
1376445657;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	204119.73333333334;	0.0;	7.466666666666667;	0.0;	0.06666666666666667
1376445957;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	183148.8;	0.0;	7.133333333333334;	0.0;	0.3333333333333333
1376446257;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	187344.53333333333;	0.0;	7.133333333333334;	0.0;	0.13333333333333333
1376446557;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	166372.26666666666;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
1376446857;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	150993.06666666668;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
1376447157;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	141206.13333333333;	0.0;	7.2;	0.0;	0.06666666666666667
1376447457;	1;	2599.999304;	13.866662954666667;	0.5333333333333333;	2097152.0;	134216.8;	0.0;	7.466666666666667;	0.0;	0.06666666666666667
1376447757;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	195732.53333333333;	0.0;	7.133333333333334;	0.0;	0.13333333333333333
1376448057;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	197130.4;	0.0;	8.133333333333333;	0.0;	0.2
1376448357;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	180353.06666666668;	0.0;	7.4;	0.0;	0.13333333333333333
1376448657;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	148197.33333333334;	0.0;	7.4;	0.0;	0.13333333333333333
1376448957;	1;	2599.999304;	25.99999304;	1.0;	2097152.0;	244666.13333333333;	0.0;	9.066666666666666;	0.0;	0.6666666666666666
1376449257;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	255850.4;	0.0;	7.466666666666667;	0.0;	0.13333333333333333
1376449558;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	178954.93333333332;	0.0;	7.733333333333333;	0.0;	0.4
1376449858;	1;	2599.999304;	13.866662954666667;	0.5333333333333333;	2097152.0;	162179.2;	0.0;	7.466666666666667;	0.0;	0.13333333333333333
1376450158;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	195733.06666666668;	0.0;	7.266666666666667;	0.0;	0.13333333333333333
1376450458;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	167770.4;	0.0;	7.666666666666667;	0.0;	0.13333333333333333
1376450758;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	162178.13333333333;	0.0;	7.133333333333334;	0.0;	0.13333333333333333
1376451058;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	170566.4;	0.0;	7.533333333333333;	0.0;	0.13333333333333333
1376451358;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	177557.6;	0.0;	7.133333333333334;	0.0;	0.13333333333333333
1376451658;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	156585.86666666667;	0.0;	8.266666666666667;	0.0;	0.13333333333333333
1376451958;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	202722.13333333333;	0.0;	7.333333333333333;	0.0;	0.13333333333333333
1376452258;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	185945.33333333334;	0.0;	7.466666666666667;	0.0;	0.13333333333333333
1376452558;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	262841.06666666665;	0.0;	9.2;	0.0;	0.6666666666666666
1376452858;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	197129.33333333334;	0.0;	7.666666666666667;	0.0;	0.13333333333333333
1376453158;	1;	2599.999304;	65.86664903466666;	2.533333333333333;	2097152.0;	253054.93333333332;	138.86666666666667;	28.0;	0.0;	0.6666666666666666
1376453458;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	664096.8;	0.8;	7.6;	0.0;	0.13333333333333333
1376453758;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	307580.8;	34.4;	11.933333333333334;	0.0;	0.06666666666666667
1376454058;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	254452.26666666666;	0.0;	7.2;	0.0;	0.06666666666666667
1376454358;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	156586.4;	0.0;	7.333333333333333;	0.0;	0.06666666666666667
1376454658;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	178955.2;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
1376454958;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	162178.93333333332;	0.0;	7.4;	0.0;	0.06666666666666667
1376455258;	1;	2599.999304;	13.866662954666667;	0.5333333333333333;	2097152.0;	185945.06666666668;	0.5333333333333333;	8.066666666666666;	0.0;	0.06666666666666667
1376455558;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	226489.6;	0.0;	7.6;	0.0;	0.06666666666666667
1376455858;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	163577.06666666668;	0.0;	6.866666666666666;	0.0;	0.06666666666666667
1376456158;	1;	2599.999304;	29.466658778666666;	1.1333333333333333;	2097152.0;	216703.2;	14.866666666666667;	17.0;	0.0;	0.5333333333333333
1376456458;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	205518.66666666666;	0.0;	7.533333333333333;	0.0;	0.06666666666666667
1376456758;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	206916.26666666666;	0.0;	7.533333333333333;	0.0;	0.3333333333333333
1376457058;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	188742.4;	0.0;	7.333333333333333;	0.0;	0.13333333333333333
1376457359;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	223694.66666666666;	0.0;	7.533333333333333;	0.0;	0.06666666666666667
1376457659;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	188741.6;	0.0;	7.133333333333334;	0.0;	0.06666666666666667
1376457959;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	153789.33333333334;	0.0;	7.533333333333333;	0.0;	0.06666666666666667
1376458259;	1;	2599.999304;	13.866662954666667;	0.5333333333333333;	2097152.0;	191538.4;	0.0;	7.133333333333334;	0.0;	0.06666666666666667
1376458559;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	205517.86666666667;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
1376458859;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	164974.13333333333;	0.0;	8.0;	0.0;	0.13333333333333333
1376459159;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	169168.26666666666;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
1376459459;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	167770.13333333333;	0.0;	7.2;	0.0;	0.06666666666666667
1376459759;	1;	2599.999304;	25.99999304;	1.0;	2097152.0;	236276.53333333333;	0.0;	9.133333333333333;	0.0;	0.5333333333333333
1376460059;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	236277.33333333334;	0.0;	7.2;	0.0;	0.06666666666666667
1376460359;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	209712.0;	0.0;	7.733333333333333;	0.0;	0.4
1376460659;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	163577.06666666668;	0.0;	7.266666666666667;	0.0;	0.13333333333333333
1376460959;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	164975.46666666667;	0.0;	7.666666666666667;	0.0;	0.06666666666666667
1376461258;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	197129.06666666668;	0.0;	7.133333333333334;	0.0;	0.06666666666666667
1376461558;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	197130.66666666666;	0.0;	7.466666666666667;	0.0;	0.06666666666666667
1376461858;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	152392.0;	0.0;	8.066666666666666;	0.0;	0.06666666666666667
1376462158;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	160781.33333333334;	0.0;	7.466666666666667;	0.0;	0.13333333333333333
1376462458;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	191538.13333333333;	0.0;	7.866666666666666;	0.0;	0.13333333333333333
1376462758;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	185945.06666666668;	0.0;	7.2;	0.0;	0.13333333333333333
1376463059;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	146798.66666666666;	0.0;	7.333333333333333;	0.0;	0.13333333333333333
1376463359;	1;	2599.999304;	24.266660170666665;	0.9333333333333332;	2097152.0;	222296.53333333333;	0.0;	9.066666666666666;	0.0;	0.6666666666666666
1376463659;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	162178.66666666666;	0.0;	7.4;	0.0;	0.13333333333333333
1376463959;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	171964.26666666666;	0.0;	7.6;	0.0;	0.4
1376464259;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	174760.0;	0.0;	7.4;	0.0;	0.13333333333333333
1376464559;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	188742.13333333333;	0.0;	7.4;	0.0;	0.13333333333333333
1376464859;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	170566.13333333333;	0.0;	7.266666666666667;	0.0;	0.13333333333333333
1376465159;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	177558.13333333333;	0.0;	7.666666666666667;	0.0;	0.13333333333333333
1376465459;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	141207.46666666667;	0.0;	7.2;	0.0;	0.13333333333333333
1376465759;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	169167.73333333334;	0.0;	7.266666666666667;	0.0;	0.13333333333333333
1376466059;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	149596.0;	0.0;	8.0;	0.0;	0.13333333333333333
1376466359;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	167771.2;	0.0;	7.266666666666667;	0.0;	0.13333333333333333
1376466659;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	155188.0;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
1376466959;	1;	2599.999304;	22.533327301333333;	0.8666666666666667;	2097152.0;	236277.86666666667;	0.0;	9.2;	0.0;	0.6
1376467259;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	176159.46666666667;	0.0;	7.2;	0.0;	0.06666666666666667
1376467559;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	190140.0;	0.5333333333333333;	8.4;	0.0;	0.3333333333333333
1376467859;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	135614.93333333332;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
1376468159;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	139809.33333333334;	0.0;	7.4;	0.0;	0.06666666666666667
1376468459;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	169169.33333333334;	0.0;	7.6;	0.0;	0.06666666666666667
1376468759;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	180353.6;	0.0;	7.466666666666667;	0.0;	0.06666666666666667
1376469059;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	171964.8;	0.0;	7.2;	0.0;	0.06666666666666667
1376469359;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	148197.33333333334;	0.0;	7.533333333333333;	0.0;	0.06666666666666667
1376469659;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	174760.53333333333;	0.0;	7.933333333333334;	0.0;	0.2
1376469959;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	146800.0;	0.0;	7.466666666666667;	0.0;	0.06666666666666667
1376470259;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	163576.8;	0.0;	7.4;	0.0;	0.06666666666666667
1376470559;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	251656.0;	0.0;	8.8;	0.0;	0.6
1376470859;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	159381.6;	0.0;	7.666666666666667;	0.0;	0.06666666666666667
1376471159;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	166372.26666666666;	0.0;	7.066666666666666;	0.0;	0.3333333333333333
1376471459;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	176159.2;	0.0;	7.533333333333333;	0.0;	0.13333333333333333
1376471759;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	188741.6;	0.0;	7.666666666666667;	0.0;	0.06666666666666667
1376472059;	1;	2599.999304;	13.866662954666667;	0.5333333333333333;	2097152.0;	201324.8;	0.0;	7.4;	0.0;	0.06666666666666667
1376472359;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	130022.13333333333;	0.0;	7.066666666666666;	0.0;	0.06666666666666667
1376472659;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	163576.0;	0.0;	7.6;	0.0;	0.06666666666666667
1376472959;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	142605.6;	0.0;	7.066666666666666;	0.0;	0.06666666666666667
1376473260;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	166372.8;	0.0;	7.6;	0.0;	0.13333333333333333
1376473560;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	239073.6;	0.0;	7.466666666666667;	0.0;	0.06666666666666667
1376473860;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	163576.53333333333;	0.0;	7.4;	0.0;	0.06666666666666667
1376474160;	1;	2599.999304;	27.733325909333335;	1.0666666666666667;	2097152.0;	289404.8;	0.0;	10.066666666666666;	0.0;	0.6666666666666666
1376474460;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	213906.4;	0.0;	8.2;	0.0;	0.13333333333333333
1376474760;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	209712.8;	4.133333333333334;	17.933333333333334;	0.0;	0.3333333333333333
1376475060;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	160780.53333333333;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
1376475360;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	180353.6;	0.0;	7.2;	0.0;	0.06666666666666667
1376475660;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	138411.2;	0.0;	7.733333333333333;	0.0;	0.06666666666666667
1376475960;	1;	2599.999304;	13.866662954666667;	0.5333333333333333;	2097152.0;	163576.8;	0.0;	7.933333333333334;	0.0;	0.13333333333333333
1376476260;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	159381.6;	0.0;	3.8666666666666667;	0.0;	0.13333333333333333
1376476560;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	176159.2;	0.0;	7.4;	0.0;	0.13333333333333333
1376476860;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	197131.2;	0.0;	8.133333333333333;	0.0;	0.13333333333333333
1376477160;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	180354.4;	0.0;	6.866666666666666;	0.0;	0.13333333333333333
1376477460;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	155188.0;	0.0;	7.333333333333333;	0.0;	0.13333333333333333
1376477760;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	192936.8;	0.0;	10.2;	0.0;	0.6666666666666666
1376478060;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	184548.0;	0.0;	6.6;	0.0;	0.06666666666666667
1376478360;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	204120.8;	0.0;	7.933333333333334;	0.0;	0.4
1376478660;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	243267.2;	0.0;	7.066666666666666;	0.0;	0.13333333333333333
1376478960;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	176159.2;	0.0;	7.466666666666667;	0.0;	0.13333333333333333
1376479260;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	197131.2;	0.0;	7.2;	0.0;	0.13333333333333333
1376479560;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	177557.06666666668;	0.0;	7.4;	0.0;	0.13333333333333333
1376479860;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	222296.0;	0.0;	7.466666666666667;	0.0;	0.13333333333333333
1376480160;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	146799.2;	0.0;	7.266666666666667;	0.0;	0.13333333333333333
1376480460;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	171965.6;	0.0;	8.0;	0.0;	0.06666666666666667
1376480760;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	192936.0;	0.0;	7.6;	0.0;	0.06666666666666667
1376481060;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	141207.46666666667;	0.0;	7.066666666666666;	0.0;	0.06666666666666667
1376481360;	1;	2599.999304;	27.733325909333335;	1.0666666666666667;	2097152.0;	213907.2;	0.0;	9.266666666666667;	0.0;	0.6
1376481660;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	234878.66666666666;	0.0;	7.066666666666666;	0.0;	0.06666666666666667
1376481960;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	218101.6;	0.0;	7.333333333333333;	0.0;	0.3333333333333333
1376482261;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	192935.2;	0.0;	7.4;	0.0;	0.06666666666666667
1376482561;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	180352.8;	0.0;	7.266666666666667;	0.0;	0.13333333333333333
1376482861;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	167770.4;	0.0;	7.2;	0.0;	0.06666666666666667
1376483161;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	130022.4;	0.0;	7.6;	0.0;	0.06666666666666667
1376483461;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	178955.2;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
1376483761;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	164974.13333333333;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
